Václav Pavlín,Red Hat,Basic Concepts of Containers Orchestration,Cloud,nic,workshop,potvrzeno,potrebujeme GCP credits,,,,
Jaroslav Machaň,Česká Spořitelna,Morfina - The World Unique Homomorphic Encrypted Open API,API,nic,workshop,osloveno,pingnuto Zkonvertovat na workshop nebo lightning talk,,,,
Sergejs Luhmirins,FullContact,Writing Firebase Functions in Kotlin,"Firebase, Kotlin",ubytko+letenku,workshop,potvrzeno,z Lotyšska + zkonvertovat na workshop,M,,,
Alvin Ourrad,BBC,Introduction to JavaScript Game Development,Web,ubytko,workshop,potvrzeno,"Zaplati. Tlak, aby si sám zaplatil letenku (z UK)",M,https://drive.google.com/open?id=1Q7IW_3BGwphkHeQVpuep_A4rStk0A0UtAsYLo31_D1U,,
Jeanne Trojan,Freelance,Networking for Geeks,Soft skills,nic,workshop,potvrzeno,Workshop v sobotu v kulate hale,,,,
Pavel Krejsa,Netmail,"Move to Google Cloud Platform, and stop worrying ...",Cloud,nic,workshop,potvrzeno,,,,,
Paweł Lewtak,GOG.com,Coding Dojo,TDD,ubytko+letenku,workshop,potvrzeno,"Tlak, aby si sám zaplatil letenku (z Polska)",,,,
Vít Listík,Seznam,Crypto currency trading algo,"Cloud, AI",nic,workshop,potvrzeno,,,,,
Ondřej Žára,Seznam,experiments with real-time audio/video processing in JavaScript,Web,nic,workshop,potvrzeno,Zkonvertovat na workshop,,,,
Věrka Koukalová,Robeeto,It's aliiiiive!,Soft skills,nic,workshop,potvrzeno,Zkonvertovat na workshop nebo lightning talk,,,,
Neha Sharma,Toaster,"Okay Google, let's do the code review",Assistant,ubytko,workshop,potvrzeno,Zaplati si letenku. z Indie,F,,,
